AGAF|Afutara Airport|Afutara
SKMZ|La Nubia Airport|Manizales
SKNC|Antioquia Airport|Necoclí
SKNQ|Reyes Murillo Airport|Nuquí
SKNV|Benito Salas|Neiva
SKOC|Aguas Claras Airport|Ocaña
SKOE|Orocue Airport|Orocue
SKOT|Otú Airport|Otú
SKPB|Puerto Bolívar Airport|Guajira Department
SKPC|Puerto Carreño Airport|Puerto Carreño
SKPD|Obando Airport|Puerto Inírida
SKPE|Matecaña International Airport|Pereira
SKPI|Contador Airport|Pitalito
SKPL|Plato Airport|Plato
SKPP|Guillermo León Valencia Airport|Popayán
SKPQ|German Olano AB|Palanquero
SKPS|Antonio Narino Airport|Pasto
SKPV|El Embrujo Airport|Providencia Island
SKPZ|Paz de Ariporo Airport|Paz de Ariporo
SKQU|Mariquita Airport|Mariquita
SKRG|José María Córdova International Airport|Medellín/Rionegro
SKRH|Almirante Padilla Airport|Riohacha
SKRO|Corocora Airport|Corocora
SKSA|Los Colonizadores Airport|Saravena
SKSJ|Jorge Enrique González Airport|San José del Guaviare
SKSM|Simón Bolívar International Airport|Santa Marta
SKSP|Gustavo Rojas Pinilla International Airport (Sesquicentenario Airport)|San Andrés Island
SKSR|San Marcos Airport|San Marcos
SKSV|Eduardo Falla Solano Airport|San Vicente del Caguán
SKTD|Trinidad Airport|Trinidad
SKTJ|Gustavo Rojas Pinilla Airport|Tunja
SKTL|Golfo de Morrosquillo Airport|Tolú
SKTM|Tame Airport|Tame
SKTQ|Tres Esquinas AB|Tres Esquinas
SKTU|Gonzalo Mejía Airport|Turbo
SKUA|Marandúa AB|Marandúa
SKUC|Santiago Pérez Airport|Arauca
SKUI|El Caraño Airport|Quibdó
SKUL|Farfan Airport|Tuluá
SKUM|Cumaribo Airport|Cumaribo
SKUR|Urrao Airport|Urrao
SKVG|Villa Garzón Airport|Villa Garzón
SKVP|Alfonso López Pumarejo Airport|Valledupar
SKVV|La Vanguardia Airport|Villavicencio
SKYA|Yaguara Airport|Yaguara
SKYP|El Alcaraván Airport|Yopal
SLAP|Apolo Airport|Apolo
SLAS|Ascencion de Guarayos Airport|Ascención de Guarayos
SLBJ|Bermejo Airport|Bermejo
SLBN|Bella Union Airport|Bella Union
SLCA|Camiri Airport|Camiri
SLCB|Jorge Wilstermann International Airport|Cochabamba
SLCO|Capitan Anibal Arab Airport|Cobija
SLCP|Concepción Airport|Concepción
SLET|El Trompillo Airport|Santa Cruz
SLGY|Guayaramerín Airport|Guayaramerin
SLJE|San José de Chiquitos Airport|San José de Chiquitos
SLJO|San Joaquin Airport|San Joaquin
SLJV|San Javier Airport|San Javier
SLLP|El Alto International Airport|La Paz
SLMG|Magdalena Airport|Magdalena
SLOR|Oruro Airport|Oruro
SLPO|Capitan Nicolas Rojas Airport|Potosí
SLPR|Puerto Rico Airport|Puerto Rico
SLPS|Puerto Suárez International Airport|Puerto Suárez
SLRA|San Ramon Airport|San Ramon
SLRB|Robore Airport|Robore
SLRI|Riberalta Airport|Riberalta
SLRQ|Rurrenabaque Airport|Rurrenabaque
SLRY|Reyes Airport|Reyes
SLSA|Santa Ana del Yacuma Airport|Santa Ana del Yacuma
SLSB|Capitán Germán Quiroga Guardia Airport|San Borja
SLSI|San Igancio de Velasco Airport|San Ignacio de Velas
SLSM|San Ignacio de Moxos Airport|San Ignacio de Moxos
SLSU|Juana Azurduy de Padilla International Airport|Sucre
SLTJ|Capitán Oriel Lea Plaza Airport|Tarija
SLTR|Teniente Jorge Henrich Arauz Airport|Trinidad
SLVM|Villamontes Airport|Villamontes
SLVR|Viru Viru International Airport|Santa Cruz
SLYA|Yacuiba Airport|Yacuiba
SMAF|Afobaka Airstrip|Afobaka
SMAM|Amatopo Airstrip|Amatopo
SMAN|Lawa Antino Airstrip|Antino
SMBG|Bakhuys Airstrip|Bakhuys Gebergte
SMBN|Albina Airstrip|Albina, Marowijne District
SMBO|Botopasi Airstrip|Botopasi
SMCA|Cayana Airstrip|Cayana
SMCB|Cabana Airstrip|Cabana
SMCI|Coeroenie Airstrip|Coeroeni
SMCO|Totness Airstrip|Totness, Coronie District
SMCT|Lawa Cottica Airstrip|Cottica
SMDA|Drietabbetje Airstrip|Drietabbetje
SMDJ|Djoemoe Airstrip (Djumu / Asidonhopo)|Djoemoe
SMDK|Donderskamp Airstrip|Donderskamp
SMDO|Laduani Airstrip|Laduani
SMDU|Alalapadu Airstrip|Alalapadu
SMGA|Gakaba Airstrip|Gakaba
SMGH|Godo Holo Airstrip|Godo Holo
SMGR|Gross Rosebell Airstrip|Gross Rosebell
SMHA|Henri Alwies Airstrip|Saramacca District
SMJA|Jarikaba Airstrip|Jarikaba, Saramacca District
SMJK|Njoeng Jacob Kondre Airstrip|Njoeng Jacob Kondre
SMJP|Johan Adolf Pengel International Airport (Zanderij Int'l)|Zanderij
SMKA|Kabalebo Airstrip|Kabalebo
SMKE|Kayser Airstrip|Kayser
SMLA|Lawa Anapaike Airstrip|Lawa Aanapaike
SMLI|Lelygebergte Airstrip|Lelygebergte
SMLT|Langatabbetje Airstrip|Langatabbetje
SMMO|Moengo Airstrip|Moengo Marowijne District
SMNI|Nieuw-Nickerie Airport|Nieuw-Nickerie (New Nickerie)
SMPA|Vincent Fayks Airport|Paloemeu
SMPE|Poeketi Airstrip|Poeketi
SMPG|Poesoegroenoe Airstrip|Poesoegroenoe
SMPT|Apetina Airstrip|Apetina
SMRA|Ralleigh Airstrip (Ralleighvallen / Voltzberg)|Raleighvallen
SMRN|Ragoebarsing Airstrip|Ragoebarsing
SMSI|Sipaliwini Airstrip|Sipaliwini
SMSK|Sarakreek Airstrip|Sarakreek
SMSM|Kwamelasemoetoe Airstrip|Kwamelasemoetoe
SMST|Stoelmans Eiland Airstrip|Stoelmans Eiland
SMTA|Lawa Tabiki Airstrip|Lawa Tabiki
SMTB|Tafelberg Airstrip|Tafelberg
SMTP|Tepoe Airstrip (Kassi Kassima)|Tepoe
SMVG|Vier Gebroeders Airstrip|Vier Gebroeders
SMWA|Wageningen Airstrip|Wageningen
SMWS|Washabo Airport|Washabo Apoera
SMZO|Zorg en Hoop Airport|Paramaribo
SOCA|Cayenne-Rochambeau Airport|Cayenne
SOGS|Grand-Santi Airport|Grand-Santi
SOOA|Maripasoula Airport|Maripasoula
SOOG|Saint-Georges-de-l'Oyapock Airport|Saint-Georges-de-l'Oyapock
SOOM|Saint-Laurent-du-Maroni Airport|Saint-Laurent-du-Maroni
SOOR|Régina Airport|Régina
SOOS|Saül Airport|Saül
SOOY|Sinnamary Airport|Sinnamary
SPAO|San Juan Aposento Airport|San Juan Aposento
SPAR|Alerta Airport|Alerta, Ucayali Region
SPAS|Alférez FAP Alfredo Vladimir Sara Bauer Airport|Andoas, Loreto Region
SPAY|Tnte. Gral. Gerardo Pérez Pinedo Airport|Atalaya, Ucayali Region
SPBB|Moyobamba Airport|Moyobamba, San Martín Region
SPBC|Caballococha Airport|Caballococha, Loreto Region
SPBL|Huallaga Airport|Bellavista, San Martín Region
SPBR|Iberia Airport|Iberia
SPBS|Bellavista Airport|Jeberos, Loreto Region
SPCH|Tocache Airport|Tocache, San Martín Region
SPCL|Capitán Rolden Airport (or Capitán FAP David Abenzur Rengifo Airport)|Pucallpa, Ucayali Region
SPCM|Contamana Airport|Contamana, Loreto Region
SPDR|Trompeteros Airport|Corrientes
SPEO|Teniente FAP Jaime A. de Montreuil Morales Airport|Chimbote, Ancash Region
SPEQ|Cesar Torque Podesta Airport|Moquegua, Moquegua Region
SPGM|Tingo María Airport|Tingo María, Huánuco Region
SPHI|Capitán FAP José A. Quiñones Gonzales Airport|Chiclayo, Lambayeque Region
SPHO|Coronel FAP Alfredo Mendívil Duarte Airport|Ayacucho, Ayacucho Region
SPHU|Huancayo Airport|Huancayo, Junín Region
SPHV|Huánuco Viejo Airport|Huánuco Viejo, Huánuco Region
SPHY|Andahuaylas Airport|Andahuaylas, Apurímac Region
SPHZ|Comandante FAP Germán Arias Graziani Airport|Anta/Huaraz, Ancash Region
SPIL|Quince Mil Airport|Quince Mil, Cusco Region
SPJC|Jorge Chávez International Airport|Callao/Lima, Lima Metropolitan Area
SPIP|Satipo Airport|Satipo
SPIZ|Uchiza Airport|Uchiza
SPJA|Juan Simons Vela Airport|Rioja, San Martín Region
SPJB|Pampa Grande Airport|Cajabamba, Cajamarca Region
SPJE|Shumba Airport|Jaén, Cajamarca Region
SPJI|Juanjuí Airport|Juanjuí, San Martín Region
SPJJ|Francisco Carle Airport|Jauja, Junín Region
SPJL|Inca Manco Cápac International Airport|Puno/Juliaca, Puno Region
SPJN|San Juan de Marcona Airport|San Juan de Marcona
SPJR|Major General FAP Armando Revoredo Iglesias Airport|Cajamarca, Cajamarca Region
SPLC|Mariano Melgar Airport|La Joya, Arequipa Region
SPLN|San Nicolas Airport|Rodríguez de Mendoza
SPLO|Ilo Airport|Ilo, Moquegua Region
SPLP|Las Palmas Air Base (military)|Barranco, Lima Province
SPME|Capitán FAP Pedro Canga Rodríguez Airport|Tumbes, Tumbes Region
SPMF|Manuel Prado Ugarteche Airport|Mazamari, Junín Region
SPMR|Santa Maria Airport, Peru|Santa Maria
SPMS|Moisés Benzaquen Rengifo Airport|Yurimaguas, Loreto Region
SPNC|Alférez FAP David Figueroa Fernandini Airport|Huánuco, Huánuco Region
SPOA|Saposoa Airport|Saposoa
SPOV|Shiringayoc/Hacienda Mejia Airport|Leon Velarde
SPPY|Chachapoyas Airport|Chachapoyas, Amazonas Region
SPQN|Requena Airport|Requena, Loreto Region
SPQT|Coronel FAP Francisco Secada Vignetta Airport|Iquitos, Loreto Region
SPQU|Rodríguez Ballón International Airport|Arequipa, Arequipa Region
SPRF|San Rafael Airport|San Rafael
SPRM|Capitán FAP Leonardo Alvariño Herr Airport|San Ramón, Junín Region
SPRU|Capitán FAP Carlos Martínez de Pinillos Airport|Trujillo, La Libertad Region
SPSF|San Francisco Airport|San Francisco
SPSO|Capitán FAP Renán Elías Olivera Airport|Pisco, Ica Region
SPSP|San Pablo Airport|San Pablo, Cajamarca Region
SPST|Comandante FAP Guillermo del Castillo Paredes Airport|Tarapoto, San Martín Region
SPSY|Shiringayoc Airport|Shiringayoc
SPTN|Coronel FAP Carlos Ciriani Santa Rosa Airport|Tacna, Tacna Region
SPTP|El Pato Air Base|Talara, Piura Region
SPTU|Padre José de Aldamiz International Airport|Puerto Maldonado, Madre de Dios Region
SPUR|Capitán FAP Guillermo Concha Iberico Airport|Piura/Talara, Piura Region
SPVR|San Isidoro Airport|Vitor
SPVT|Mayor FAP Guillermo Protset del Castillo Airport|Vitor
SPYL|Capitán FAP Victor Montes Arias|Talara, Piura Region
SPZA|Maria Reiche Neuman Airport|Nazca, Ica Region
SPZO|Subteniente FAP Alejandro Velasco Astete International Airport|Cusco, Cusco Region
SUAA|Ángel S. Adami International Airport|Montevideo, Montevideo
SUAG|Artigas International Airport|Artigas, Artigas
SUAN|Estancia Presidencial Anchorena Airport|Barra de San Juan, Colonia
SUBU|Placeres Airport|Bella Unión, Artigas
SUCA|Laguna de los Patos International Airport|Colonia del Sacramento, Colonia
SUCM|Zagarzazú International Airport|Carmelo, Colonia
SUDU|Santa Bernardina International Airport|Durazno, Durazno
SUFB|Villa Independencia Airport|Fray Bentos, Río Negro
SULS|C/C Carlos A. Curbelo de Laguna del Sauce International Airport|Maldonado/Punta del Este, Maldonado
SUME|Ricardo Detomasi Airport|Mercedes, Soriano
SUMI|Campo Municipal de Aterrizaje Airport|Minas, Lavalleja
SUMO|Cerro Largo International Airport|Melo, Cerro Largo
SUMU|Carrasco Gral. Cesáreo L. Berisso International Airport|Montevideo, Montevideo
SUPE|El Jagüel Airport|Maldonado/Punta del Este, Maldonado
SUPU|Tydeo Larre Borges International Airport|Paysandú, Paysandú
SURB|Río Branco Airport|Río Branco, Cerro Largo
SURV|Pte. Gral. Óscar D. Gestido International Airport|Rivera, Rivera
SUSO|Nueva Hespérides International Airport|Salto, Salto
SUTB|Tacuarembó Airport|Tacuarembó, Tacuarembó
SUTR|Treinta y Tres Airport|Treinta y Tres, Treinta y Tres
SUVO|Vichadero Airport|Vichadero, Rivera
SVAC|Oswaldo Guevara Mujica Airport|Acarigua
SVAN|Anaco Airport|Anaco, Anzoátegui
SVAS|Armando Schwarck Airport|Los Pijiguaos, Amazonas
SVBB|Private Airport central Bobures|Bobures, Zulia
SVBC|Generál José Antonio Anzoátegui International Airport|Barcelona, Anzoátegui
SVBI|Barinas Airport|Barinas, Barinas State
SVBL|El Libertador Airbase|Maracay, Aragua
SVBM|Jacinto Lara International Airport|Barquisimeto
SVBS|Mariscal Sucre Airport (Venezuela)|Maracay, Aragua
SVCB|Tomás de Heres Airport|Ciudad Bolívar, Bolívar
SVCD|Caicara de Orinoco Airport|Caicara del Orinoco
SVCL|Calabozo Airport|Calabozo, Guárico
SVCN|Canaima Airport|Canaima
SVCO|Carora Airport|Carora, Lara
SVCP|General José Francisco Bermúdez Airport|Carupano
SVCR|José Leonardo Chirinos Airport|Coro, Falcón
SVCU|Antonio José de Sucre Airport|Cumaná, Sucre
SVDZ|Puerto Páez Airport|Puerto Páez, Apure
SVED|El Dorado Airport (Venezuela)|El Dorado
SVEZ|Elorza Airport|Elorza, Apure
SVFM|Generalissimo Francisco de Miranda Airbase|Caracas Lacar
SVGD|Guasdualito Airport|Guasdualito, Apure
SVGI|Guiria Airport|Guiria, Sucre
SVGU|Guanare Airport|Guanare, Portuguesa
SVHH|Churuguara Airport|Churuguara, Falcón
SVIC|Icabaru Airport|Icabaru, Bolívar
SVJC|Josefa Camejo International Airport|Paraguaná, Falcón
SVKA|Kavanayén Airport|Bolívar
SVKM|Kamarata Airport|Bolívar
SVLF|La Fria Airport|La Fria, Táchira
SVLO|La Orchila Airport|La Orchila, Dependencias Federales (Venezuela)
SVMC|La Chinita International Airport|Maracaibo, Zulia
SVMD|Alberto Carnevalli Airport|Mérida, Mérida
SVMG|Del Caribe International Airport (Gen. Santiago Marino Airport)|Porlamar, Isla Margarita
SVMI|Simón Bolívar International Airport (Maiquetia International Airport)|Maiquetía, Vargas (near Caracas)
SVMT|Maturín Airport|Maturín, Monagas
SVON|Oro Negro Airport|Cabimas, Zulia
SVPA|Cacique Aramare Airport|Puerto Ayacucho, Amazonas
SVPC|Bartolomé Salom Airport|Puerto Cabello, Carabobo
SVPE|Pedernales Airport|Delta Amacuro
SVPM|Paramillo Airport|San Cristóbal, Táchira
SVPR|Manuel Carlos Piar Guayana Airport|Ciudad Guayana, Bolívar
SVPT|Palmarito Airport|Apure
SVRS|Los Roques Airport|Los Roques Dependencias Federales (Venezuela)
SVSA|Juan Vicente Gómez International Airport|San Antonio del Táchira
SVSE|Santa Elena de Uairen Airport|Bolívar
SVSO|Mayor Buenaventura Vivas Airport|Santo Domingo
SVSP|Sub Teniente Nestor Arias Airport|San Felipe, Yaracuy
SVSR|Las Flecheras Airport|San Fernando de Apure, Apure
SVST|San Tomé Airport|San Tomé
SVSZ|Miguel Urdaneta Fernández Airport|Santa Bárbara del Zulia
SVTC|Tucupita Airport|Tucupita, Delta Amacuro
SVTM|Tumeremo Airport|Tumeremo
SVUM|Uriman Airport|Bolívar
SVVA|Arturo Michelena International Airport|Valencia, Carabobo
SVVG|Juan Pablo Perez Alfonso Airport|El Vigia
SVVL|Dr. Antonio Nicolás Briceno Airport|Valera, Trujillo
SYAN|Annai Airport|Annai
SYBR|Baramita Airport|Baramita
SYBT|Bartica Airport|Bartica
SYCJ|Cheddi Jagan International Airport|Georgetown
SYGO|Ogle Airport|Ogle
SYIB|Imbaimadai Airport|Imbaimadai
SYKM|Kamarang Airport|Kamarang
SYKR|Karanambo Airport|Karanambo
SYKS|Karasabai Airport|Karasabai
SYKT|Kato Airport|Kato
SYLT|Lethem Airport|Lethem
SYMB|Mabaruma Airport|Mabaruma
SYMD|Mahdia Airport|Mahdia
SYMM|Monkey Mountain Airport|Monkey Mountain, Guyana
SYNA|New Amsterdam Airport|New Amsterdam
SYOR|Orinduik Airport|Orinduik
SYPR|Paruima Airport|Paruima
TAPA|VC Bird International Airport|Saint John's, Antigua
TAPH|Codrington Airport|Codrington, Barbuda
TAPT|Coco Point Lodge Airport|Coco Point, Barbuda
TBPB|Grantley Adams International Airport|Bridgetown
TDCF|Canefield Airport|Roseau
TDPD|Melville Hall Airport|Marigot
TFFA|La Désirade Airport|Beauséjour, La Désirade
TFFB|Baillif Airport|Baillif, Basse-Terre
TFFC|Saint-François Airport|Saint-François, Grande-Terre
TFFM|Marie-Galante Airport|Grand-Bourg, Marie-Galante
TFFR|Pointe-à-Pitre - Le Raizet Airport|Pointe-à-Pitre, Grande-Terre
TFFS|Les Saintes Airport|Terre-de-Haut, Les Saintes
TFFF|Fort-de-France - Le Lamentin Airport|Le Lamentin, Fort-de-France
TFFJ|Gustaf III Airport|St. Jean
TFFG|L'Espérance Airport|Grand Case
TGPG|Pearls Airport|Grenville
TGPY|Maurice Bishop International Airport|St. George's
TGPZ|Lauriston Airport (Carriacou Island Airport)|Hillsborough, Carriacou Island
TIST|Cyril E. King Airport|St. Thomas
TISX|Henry E. Rohlsen Airport|St. Croix
TJAB|Antonio (Nery) Juarbe Pol Airport|Arecibo
TJBQ|Rafael Hernández Airport|Aquadilla Borinquen
TJVQ|Vieques Airport (Antonio Rivera Rodríguez Airport)|Vieques
TJCP|Benjamin Rivera Noriega Airport|Culebra
TJFA|Diego Jimenez Torres Airport|Fajardo
TJIG|Fernando Ribas Dominicci Airport (Isla Grande Airport)|San Juan
TJMZ|Eugenio María de Hostos Airport|Mayagüez
TJPS|Mercedita Airport|Ponce
TJRV|José Aponte de la Torre Airport|Ceiba
TJSJ|Luis Muñoz Marín International Airport|San Juan
TKPK|Robert L. Bradshaw International Airport|Basseterre, Saint Kitts
TKPN|Vance W. Amory International Airport|Charlestown, Nevis
TLPC|George F. L. Charles Airport (formerly Vigie Airport)|Castries, Saint Lucia
TLPL|Hewanorra International Airport|Vieux-Fort, Saint Lucia
TNCB|Flamingo International Airport|Kralendijk, Bonaire
TNCE|F.D. Roosevelt Airport|Sint Eustatius
TNCS|Juancho E. Yrausquin Airport|Saba
TNCA|Queen Beatrix International Airport|Oranjestad, Aruba
TNCC|Hato International Airport|Willemstad, Curaçao,
TNCM|Princess Juliana International Airport|Philipsburg, Sint Maarten
TQPF|Anguilla Wallblake Airport|The Valley
TRPG|Gerald's Airport|Gerald's Park
TTCP|Arthur Napoleon Raymond Robinson International Airport|Scarborough, Tobago
TTPP|Piarco International Airport|Port of Spain, Trinidad
TUPA|Auguste George Airport|Anegada
TUPJ|Terrance B. Lettsome International Airport|Beef Island / Tortola
TUPW|Virgin Gorda Airport|Virgin Gorda
TVSB|J.F. Mitchell Airport|Bequia, Grenadines
TVSC|Canouan Airport|Canouan, Grenadines
TVSM|Mustique Airport|Mustique, Grenadines
TVSU|Union Island Airport|Union Island, Grenadines
TVSV|E.T. Joshua Airport|Arno Vale (near Kingstown), Saint Vincent
TXKF|Bermuda International Airport|Ferry Reach
UEEA|Aldan Airport|Aldan
UEEE|Yakutsk Airport|Yakutsk
UELL|Chulman Neryungri Airport|Chulman
UEMM|Magan Airport|Magan, Russia, Sakha Republic
UENN|Nyurba Airport|Nyurba, Sakha Republic
UENW|Vilyuysk Airport|Vilyuysk, Sakha Republic
UERO|Olenyok Airport|Olenyok, Sakha Republic
UERP|Polyarny Airport|Polyarnyj (near Udachny, not Polyarny, Murmansk Oblast)
UERR|Mirny Airport|Mirny
UESG|Belaya Gora Airport|Belaya Gora, Sakha Republic
UESO|Chokurdakh Airport|Chokurdakh
UESS|Chersky Airport|Chersky
UEST|Tiksi Airport|Tiksi
UESU|Zyryanka Airport|Zyryanka, Verkhnekolymsky District, Sakha Republic
UHBB|Ignatyevo Airport|Blagoveschensk
UHBI|Magdagachi Airport|Magdagachi
UHHH|Khabarovsk Novy Airport|Khabarovsk
UHKK|Komsomolsk-on-Amur Airport|Komsomolsk-on-Amur
UHMA|Ugolny Airport|Anadyr
UHMD|Provideniya Bay Airport|Provideniya
UHMK|Keperveyem Airport|Keperveyem, Chukotka Autonomous Okrug
UHMM|Sokol Airport|Magadan
UHMO|Markovo Airport|Markovo, Chukotka Autonomous Okrug
UHMP|Pevek Airport|Pevek
UHPP|Yelizovo Airport|Petropavlovsk-Kamchatsky
UHPX|Nikolskoye Airport|Nikolskoye, Kamchatka Krai
UHSH|Okha Airport|Okha
UHSS|Yuzhno-Sakhalinsk Airport|Yuzhno-Sakhalinsk
UHWW|Vladivostok International Airport|Vladivostok
UIAA|Kadala Airport|Chita
UIBB|Bratsk Airport|Bratsk
UIII|Irkutsk International Airport|Irkutsk
UIKE|Erbogachen Airport|Yerbogachen
UITT|Ust-Kut Airport|Ust-Kut
UIUU|Mukhino Airport|Ulan-Ude
ULAA|Talagi Airport|Arkhangelsk
ULAL|Leshukonskoye Airport|Arkhangelsk
ULAM|Naryan-Mar Airport|Naryan-Mar
ULDD|Amderma Airport|Amderma
ULKK|Kotlas Airport|Kotlas
ULLI|Pulkovo Airport|Saint Petersburg
ULMM|Murmansk Airport|Murmansk
ULOL|Velikiye Luki Airport|Velikiye Luki
ULOO|Pskov Airport|Pskov
ULPB|Besovets Airport|Petrozavodsk
ULSS|Rzhevka Airport|Saint Petersburg
ULWW|Vologda Airport|Vologda
UMKK|Khrabrovo Airport|Kaliningrad
UNAA|Abakan Airport|Abakan
UNBB|Barnaul Airport|Barnaul
UNCC|Severny Airport|Novosibirsk
UNEE|Kemorovo Airport|Kemerovo
UNIP|Podkamennaya Tunguska Airport|Podkamennaya Tunguska, Krasnoyarsk
UNIW|Vanavara Airport|Vanavara
UNKL|Krasnoyarsk Yemelyanovo Airport|Krasnoyarsk
UNKY|Kyzyl Airport|Kyzyl
UNNT|Novosibirsk Tolmachevo Airport|Novosibirsk
UNOO|Tsentralny Airport|Omsk
UNTT|Bogashevo Airport|Tomsk
UNWI|Tashtagol Airport|Tashtagol
UNWW|Novokuznetsk Spichenkovo Airport|Novokuznetsk
UODD|Dikson Airport|Dikson
UOHH|Khatanga Airport|Khatanga
UOOO|Norilsk Airport|Norilsk
UOTT|Turukhansk Airport|Turukhansk
URFB|"Belbek" Sevastopol International Airport|Sevastopol
URFF|Simferopol International Airport|Simferopol
URFI|Saki Air Base|Saky
URFK|Kerch Airport|Kerch
URFV|Yevpatoria Airport|Yevpatoria
URFW|Zavodske Airfield|Simferopol
URFY|Dzhankoy Airport|Dzhankoy
URKA|Vityazevo Airport|Anapa
URKH|Khanskaya Airport|Khanskaya
URKK|Pashkovsky Airport|Krasnodar
URKM|Maykop Airport|Maykop
URMG|Grozny Airport|Grozny
URML|Uytash Airport|Makhachkala
URMM|Mineralnye Vody Airport|Mineralnye Vody
URMN|Nalchik Airport|Nalchik
URMO|Beslan Airport|Vladikavkaz
URMT|Shpakovskoye Airport|Stavropol
URRR|Rostov-on-Don Airport|Rostov-on-Don
URSS|Sochi International Airport|Sochi
URWA|Astrakhan Airport|Astrakhan
URWI|Elista Airport|Elista
URWW|Gumrak Airport|Volgograd
USCC|Balandino Airport|Chelyabinsk
USCM|Magnitogorsk Airport|Magnitogorsk
USDA|Sabetta International Airport|Sabetta
USDB|Bovanenkovo Airport|Bovanenkovo
USDD|Salekhard Airport|Salekhard
USHH|Khanty-Mansiysk Airport|Khanty-Mansi Autonomous Okrug
USKK|Kirov Airport|Kirov
USMM|Nadym Airport|Nadym
USMU|Novy Urengoy Airport|Novy Urengoy
USNN|Nizhnevartovsk Airport|Nizhnevartovsk
USNR|Raduzhny Airport|Raduzhny
USPI|Izhevsk Airport|Izhevsk
USPP|Bolshoye Savino Airport|Perm
USRK|Kogalym Airport|Kogalym
USRN|Nefteyugansk Airport|Nefteyugansk
USRO|Noyabrsk Airport|Noyabrsk
USRR|Surgut Airport|Surgut
USSS|Koltsovo International Airport|Yekaterinburg
USTO|Tobolsk Airport|Tobolsk
USTR|Roschino Airport|Tyumen
USUU|Kurgan Airport|Kurgan
UUBB|Bykovo Airport|Moscow
UUBP|Bryansk Airport|Bryansk
UUDD|Domodedovo International Airport|Moscow
UUDL|Tunoshna Airport|Yaroslavl
UUEE|Sheremetyevo International Airport|Moscow
UUEM|Migalovo Airport|Tver
UUMO|Ostafievo International Airport|Podolsk (Moscow Oblast)
UUMU|Chkalovsky Airport|Shchyolkovo (Moscow Oblast)
UUOB|Belgorod Airport|Belgorod
UUOO|Chertovitskoye Airport|Voronezh
UUWR|Dyagilevo Airport|Ryazan
UUWW|Vnukovo Airport|Moscow
UUYH|Ukhta Airport|Ukhta
UUYP|Pechora Airport|Pechora
UUYW|Vorkuta Airport|Vorkuta
UUYY|Syktyvkar Airport|Syktyvkar
UWGG|Strigino Airport|Nizhny Novgorod
UWKD|Kazan Airport|Kazan
UWKE|Begishevo Airport|Nizhnekamsk
UWKI|Chistopol Airport|Yoshkar-Ola
UWKS|Cheboksary Airport|Cheboksary
UWLL|Ulyanovsk Baratayevka Airport|Ulyanovsk
UWLW|Vostochny Airport|Ulyanovsk
UWOO|Tsentralny Airport|Orenburg
UWOR|Orsk Airport|Orsk
UWPP|Penza Airport|Penza
UWPS|Saransk Airport|Saransk
UWSS|Tsentralny Airport|Saratov
UWUK|Oktyabrsky Airport|Oktyabrsky
UWUU|Ufa International Airport|Ufa
UWWW|Kurumoch Airport|Samara
UAAA|Almaty International Airport^[1]|Almaty
UAAH|Balkhash Airport^[1]|Balkhash
UAAT|Taldykorgan Airport^[1]|Taldykorgan
UACC|Astana International Airport^[1]|Astana
UACK|Kokshetau Airport^[1]|Kokshetau
UACP|Petropavl Airport (Petropavlovsk Airport)^[1]|Petropavl
UADD|Taraz Airport^[1]|Taraz
UAFA|Tamga Airport|Tamga
UAII|Shymkent International Airport^[1]|Shymkent (Chimkent)
UAKD|Zhezkazgan Airport^[1]|Zhezkazgan
UAKK|Sary-Arka Airport (Karaganda Airport)^[1]|Karaganda
UAOO|Kyzylorda Airport^[1]|Kyzylorda
UARR|Oral Ak Zhol Airport (Uralsk Airport)^[1]|Oral (Uralsk)
UASB|Ekibastuz Airport|Ekibastuz
UASK|Oskemen Airport (Ust-Kamenogorsk Airport)^[1]|Oskemen (Ust Kamenogorsk)
UASP|Pavlodar Airport^[1]|Pavlodar
UASS|Semey Airport (Semipalatinsk Airport)^[1]|Semey (Semipalatinsk)
UATE|Aktau Airport^[1]|Aktau
UATG|Atyrau Airport^[1]|Atyrau
UATT|Aktobe Airport^[1]|Aktobe (Aktyubinsk)
UAUR|Arkalyk Airport|Arkalyk
UAUU|Kostanay Airport^[1]|Kostanay
UBBB|Heydar Aliyev International Airport|Baku
UBBG|Ganja International Airport|Ganja
UBBL|Lenkoran International Airport|Lankaran
UBBN|Nakhchivan International Airport|Nakhchivan
UBBQ|Gabala International Airport|Qabala
UBBY|Zaqatala International Airport|Zaqatala
UBBS|Stepanakert International Airport|Stepanakert
UCFB|Batken Airport|Batken
UCFE|Kerben Airport|Kerben
UCFF|Tokmok Airport|Tokmok
UCFG|Cholpon-Ata Airport|Cholpon-Ata
UCFI|Isfana Airport|Isfana
UCFJ|Jalal-Abad Airport|Jalal-Abad
UCFL|Tamchy Airport|Tamchy
UCFM|Manas International Airport|Bishkek
UCFN|Naryn Airport|Naryn
UCFO|Osh Airport|Osh
UCFP|Karakol International Airport|Karakol
UCFR|Balykchy Airport|Balykchy
UCFS|Kyzyl-Kiya Airport|Kyzyl-Kiya
UCFT|Talas Airport|Talas
UCFU|Ak-Chiy Aerodrome|Bishkek
UCFW|Kant Airport|Kant
UCFX|Toktogul Airport|Toktogul
UCFZ|Kazarman Airport|Kazarman
UDLS|Stepanavan Airport|Stepanavan
UDSG|Shirak Airport|Gyumri
